Timestamp,ROI Index,Frequency (Hz)
8457312,1,5.368157387
8471598,1,5.176812172
8485884,1,5.325005054
8500170,1,5.316182137
8514456,1,5.355597973
8528742,1,5.357625484
8543028,1,5.358808517
8557314,1,5.355093479
8571600,1,5.306432724
8585886,1,5.321998119
8600172,1,5.302422523
8614458,1,5.336277962
8628744,1,5.22932291
8643030,1,5.355134964
8657316,1,5.32910347
8671602,1,5.353060722
8685888,1,5.341570854
8700174,1,5.262150288
8714460,1,5.265185356
8728746,1,5.317933559
8743032,1,5.298371792
8757318,1,5.357945442
8771604,1,5.292787552
8785890,1,5.344390392
8800176,1,4.706517935
8814462,1,4.705442429
8828748,1,5.328362942
8843034,1,5.284142971
8857320,1,5.33261919
8871606,1,5.290230274
8885892,1,5.312662125
8900178,1,5.32580328
8914464,1,5.295936584
8928750,1,5.29302454
8943036,1,5.280193329
8957322,1,5.334113598
8971608,1,5.205522537
8985894,1,5.306353092
9000180,1,5.261250019
9014466,1,5.349069595
9028752,1,5.342737198
9043038,1,5.299984932
9057324,1,5.293346882
9071610,1,5.322065353
9085896,1,5.310906887
9100182,1,5.161363602
9114468,1,5.34014082
9128754,1,5.355834961
9143040,1,5.34855175
9157326,1,4.70139575
9171612,1,4.701173544
9185898,1,4.66836381
9200184,1,5.21701622
9214470,1,5.272958279
9228756,1,5.273763657
9243042,1,5.342759132
9257328,1,5.356774807
9271614,1,5.335483074
9285900,1,5.341485023
9300186,1,5.204318047
9314472,1,5.351890564
9328758,1,5.323486328
9343044,1,5.349047661
9357330,1,5.263660908
9371616,1,5.256752491
9385902,1,5.33964777
9400188,1,5.258880138
9414474,1,5.345197678
9428760,1,5.305698872
9443046,1,5.328053474
9457332,1,5.329340935
9471618,1,4.698126316
9485904,1,5.360491753
9500190,1,5.355160713
9514476,1,5.344639778
9528762,1,5.345973969
9543048,1,4.698358536
9557334,1,5.3167243
9571620,1,5.352939129
9585906,1,5.346673965
9600192,1,5.344330311
9614478,1,5.218789101
9628764,1,5.334526539
9643050,1,5.347234249
9657336,1,5.258370399
9671622,1,5.35825491
9685908,1,5.338652611
9700194,1,5.328732014
9714480,1,5.320992947
9728766,1,4.717524767
9743052,1,5.242917538
9757338,1,5.342652798
9771624,1,5.346456528
9785910,1,5.352356434
9800196,1,5.355229378
9814482,1,5.312707424
9828768,1,5.306469917
9843054,1,5.27989006
9857340,1,5.256231308
9871626,1,5.362961769
9885912,1,5.337835789
9900198,1,5.330539227
9914484,1,5.298346043
9928770,1,5.197501183
9943056,1,5.345861435
9957342,1,5.301908493
9971628,1,5.361945152
9985914,1,4.694340944
10000200,1,5.310853004
10014486,1,4.702854395
10028772,1,5.325878143
10043058,1,4.694600821
10057344,1,5.333898067
10071630,1,5.300162792
10085916,1,4.768326044
10100202,1,5.317573547
10114488,1,5.277997494
10128774,1,4.701710939
10143060,1,5.352861404
10157346,1,5.341608524
10171632,1,5.341863632
10185918,1,5.324279785
10200204,1,5.240134716
10214490,1,5.342311382
10228776,1,5.289822578
10243062,1,5.355319977
10257348,1,5.351973057
10271634,1,5.330696106
10285920,1,5.294344425
10300206,1,5.244887829
10314492,1,5.302960396
10328778,1,5.351242065
10343064,1,5.321413517
10357350,1,5.334425926
10371636,1,5.306063652
10385922,1,5.334780216
10400208,1,5.32218504
10414494,1,5.207489491
10428780,1,4.696449518
10443066,1,5.342225552
10457352,1,5.334311962
10471638,1,4.71213007
10485924,1,4.699827194
10500210,1,4.684212685
10514496,1,4.721278429
10528782,1,5.334570408
10543068,1,5.336117268
10557354,1,5.328789711
10571640,1,5.253016949
10585926,1,5.351430893
10600212,1,5.355477333
10614498,1,5.360796452
10628784,1,5.31889677
10643070,1,5.322557926
10657356,1,4.699831486
10671642,1,5.357104301
10685928,1,5.339864254
10700214,1,5.331783772
10714500,1,5.326880455
10728786,1,5.318743229
10743072,1,5.318798065
10757358,1,5.300160408
10771644,1,5.296517372
10785930,1,5.358341694
10800216,1,5.332452774
10814502,1,5.337992668
10828788,1,5.294381142
10843074,1,5.331255913
10857360,1,5.318610668
10871646,1,5.301192284
10885932,1,5.341265678
10900218,1,5.301668167
10914504,1,5.35008049
10928790,1,5.281420708
10943076,1,5.313051701
10957362,1,5.335636616
10971648,1,5.301625729
10985934,1,5.190602303
11000220,1,5.331879616
11014506,1,5.338486195
11028792,1,5.343902111
11043078,1,5.324363232
11057364,1,4.724540234
11071650,1,5.338656902
11085936,1,5.344664097
11100222,1,5.356442928
11114508,1,5.333387852
11128794,1,5.333606243
11143080,1,5.298548698
11157366,1,4.698164463
11171652,1,5.344619751
11185938,1,5.341899872
11200224,1,5.280446053
11214510,1,5.285880566
11228796,1,5.283030033
11243082,1,5.351955891
11257368,1,5.351886749
11271654,1,5.211967468
11285940,1,5.343501091
11300226,1,5.280940056
11314512,1,5.345101833
11328798,1,5.357336521
11343084,1,5.354009151
11357370,1,5.348435879
11371656,1,5.304368496
11385942,1,5.287136078
11400228,1,5.347430706
11414514,1,5.351550579
11428800,1,4.683757782
11443086,1,5.34925127
11457372,1,5.327227592
11471658,1,5.352866173
11485944,1,5.357489586
11500230,1,5.294112682
11514516,1,5.353816032
11528802,1,5.336874485
11543088,1,5.357885838
11557374,1,5.33203125
11571660,1,5.18992424
11585946,1,5.312403202
11600232,1,5.340058327
11614518,1,4.695503235
11628804,1,5.354072571
11643090,1,5.328876495
11657376,1,5.307108402
11671662,1,5.329650879
11685948,1,5.147990227
11700234,1,5.346940994
11714520,1,5.335544586
11728806,1,5.36026001
11743092,1,5.359845161
11757378,1,5.303374767
11771664,1,5.259356022
11785950,1,5.342795849
11800236,1,5.347103119
11814522,1,5.356567383
11828808,1,5.339537621
11843094,1,5.357578278
11857380,1,5.134304523
11871666,1,5.185570717
11885952,1,5.35614109
11900238,1,5.341545105
11914524,1,5.343595982
11928810,1,5.2243433
11943096,1,5.308759212
11957382,1,4.719892979
11971668,1,5.345950603
11985954,1,5.344051361
12000240,1,5.342334747
12014526,1,5.362045765
12028812,1,5.333065033
12043098,1,5.257937431
12057384,1,5.253453732
12071670,1,5.34522295
12085956,1,5.36374855
12100242,1,5.346235752
12114528,1,5.348815441
12128814,1,5.317541122
12143100,1,5.317087173
12157386,1,5.269073486
12171672,1,5.355420113
12185958,1,5.339924335
12200244,1,5.367813587
12214530,1,5.361799717
12228816,1,5.314498425
12243102,1,5.290481091
12257388,1,5.324419498
12271674,1,5.338309765
12285960,1,5.344130039
12300246,1,5.331450939
12314532,1,5.286977768
12328818,1,5.235800743
12343104,1,5.2418046
12357390,1,5.302210331
12371676,1,5.360236168
12385962,1,5.345029831
12400248,1,4.708076477
12414534,1,5.33034277
12428820,1,4.990225792
12443106,1,5.345299721
12457392,1,5.361876488
12471678,1,5.332537651
12485964,1,5.339828491
12500250,1,5.335771561
12514536,1,4.705747128
12528822,1,5.355322361
12543108,1,5.362428665
12557394,1,5.341235161
12571680,1,5.335466862
12585966,1,4.781473875
12600252,1,5.302085876
12614538,1,5.346890926
12628824,1,5.347243786
12643110,1,5.326755524
12657396,1,5.32725668
12671682,1,5.303552151
12685968,1,5.335745811
12700254,1,5.327710629
12714540,1,5.32507658
12728826,1,5.342731953
12743112,1,5.364927769
12757398,1,4.688769102
12771684,1,4.710912943
12785970,1,5.333568096
12800256,1,5.319864273
12814542,1,5.355712414
12828828,1,5.296056271
12843114,1,5.357646942
12857400,1,5.346630573
12871686,1,4.702523232
12885972,1,5.340366364
12900258,1,5.349642754
12914544,1,5.344969273
12928830,1,5.309675694
12943116,1,4.703610897
12957402,1,5.359706879
12971688,1,5.298234463
12985974,1,5.308673859
13000260,1,5.349730492
13014546,1,4.703405619
13028832,1,5.355029106
13043118,1,5.286202908
13057404,1,4.691513062
13071690,1,5.275928497
13085976,1,5.354186058
13100262,1,5.277206898
13114548,1,5.309603214
13128834,1,5.35021925
13143120,1,5.335169315
13157406,1,5.350125313
13171692,1,5.277920723
13185978,1,5.265561104
13200264,1,5.350696087
13214550,1,5.353840351
13228836,1,5.335736752
13243122,1,5.320891857
13257408,1,5.334113598
13271694,1,5.325826168
13285980,1,5.355233192
13300266,1,5.317861557
13314552,1,5.357891083
13328838,1,5.288585663
13343124,1,5.255702972
13357410,1,5.34058094
13371696,1,5.354122639
13385982,1,5.353289127
13400268,1,5.353550911
13414554,1,5.332987785
13428840,1,5.313831806
13443126,1,5.353539467
13457412,1,5.344179153
13471698,1,5.243319988
13485984,1,5.256209373
13500270,1,5.268230915
13514556,1,5.345373154
13528842,1,5.308190823
13543128,1,5.311552048
13557414,1,5.250706673
13571700,1,5.288864613
13585986,1,5.357010365
13600272,1,5.326049805
13614558,1,5.325843334
13628844,1,5.32727623
13643130,1,4.696166992
13657416,1,5.305830956
13671702,1,5.320086479
13685988,1,5.247033119
13700274,1,5.351267338
13714560,1,5.342441082
13728846,1,4.678229809
13743132,1,5.357195377
13757418,1,5.341431141
13771704,1,5.346436977
13785990,1,5.346608162
13800276,1,4.679783344
13814562,1,4.696516275
13828848,1,4.715165377
13843134,1,5.341867924
13857420,1,5.364208221
13871706,1,5.329670429
13885992,1,5.318249226
13900278,1,5.202188969
13914564,1,5.364370346
13928850,1,5.344575882
13943136,1,5.353105545
13957422,1,5.345415592
13971708,1,4.67776227
13985994,1,5.324138641
14000280,1,4.699327946
14014566,1,5.312995434
14028852,1,5.359492302
14043138,1,5.351867199
14057424,1,5.250226498
14071710,1,5.34389019
14085996,1,5.350587845
14100282,1,5.233757973
14114568,1,5.367198944
14128854,1,5.346380711
14143140,1,5.338635921
14157426,1,5.250486374
14171712,1,5.299663067
14185998,1,4.712751389
14200284,1,5.343334675
14214570,1,5.331429005
14228856,1,5.365268707
14243142,1,4.69661355
14257428,1,5.360846996
14271714,1,4.712454557
14286000,1,5.363529205
14300286,1,5.318396568
14314572,1,5.339999199
14328858,1,5.35108614
14343144,1,4.707558632
14357430,1,4.696954966
14371716,1,5.288389683
14386002,1,5.259853363
14400288,1,5.33814621
14414574,1,5.327477932
14428860,1,5.32332325
14443146,1,5.355417728
14457432,1,5.332627296
14471718,1,5.349460125
14486004,1,5.317886829
14500290,1,5.351664543
14514576,1,5.352273464
14528862,1,5.287421227
14543148,1,5.299664021
14557434,1,5.353462696
14571720,1,5.350702763
14586006,1,5.328561306
14600292,1,5.303835869
14614578,1,5.366933346
14628864,1,5.343520641
14643150,1,5.327850819
14657436,1,5.353542805
14671722,1,5.370660305
14686008,1,5.342820168
14700294,1,5.314965725
14714580,1,5.324820042
14728866,1,5.268885612
14743152,1,5.349634171
14757438,1,4.704872131
14771724,1,5.356283188
14786010,1,4.693621397
14800296,1,5.356039524
14814582,1,5.341568947
14828868,1,5.353313446
14843154,1,5.302661419
14857440,1,5.303236008
14871726,1,5.246833801
14886012,1,5.290272713
14900298,1,5.281793594
14914584,1,4.704746962
14928870,1,4.703191996
14943156,1,5.337183952
14957442,1,5.358603954
14971728,1,5.328085899
14986014,1,5.333008766
15000300,1,5.357980728
15014586,1,5.241284847
15028872,1,5.354885101
15043158,1,5.362862587
15057444,1,5.338004112
15071730,1,5.337343693
15086016,1,5.356243134
15100302,1,4.696227551
15114588,1,4.705392599
15128874,1,4.703129292
15143160,1,5.342113018
15157446,1,5.27148819
15171732,1,5.177991867
15186018,1,4.705230713
15200304,1,5.201542377
15214590,1,5.362416744
15228876,1,5.364041805
15243162,1,5.352450848
15257448,1,5.372425556
15271734,1,5.33953619
15286020,1,4.703304768
15300306,1,4.701668978
15314592,1,5.331288815
15328878,1,5.088276386
15343164,1,5.351448059
15357450,1,5.366219997
15371736,1,5.355915546
15386022,1,5.202023029
15400308,1,5.363664627
15414594,1,4.689055204
15428880,1,5.365311146
15443166,1,5.315714836
15457452,1,5.344767094
15471738,1,5.309541702
15486024,1,5.288040161
15500310,1,5.338181019
15514596,1,5.353298664
15528882,1,5.092338562
15543168,1,5.343207836
15557454,1,5.298936844
15571740,1,5.364956856
15586026,1,5.36846447
15600312,1,5.304159641
15614598,1,5.353570461
15628884,1,4.705707788
15643170,1,4.67802906
15657456,1,5.3351717
15671742,1,5.328845978
15686028,1,5.362739563
15700314,1,5.35953474
15714600,1,5.353303909
15728886,1,4.702466011
15743172,1,4.706188202
15757458,1,5.300861359
15771744,1,5.350190163
15786030,1,4.70258522
15800316,1,5.370409012
15814602,1,5.305618286
15828888,1,5.333363533
15843174,1,4.700686455
15857460,1,5.315610409
15871746,1,5.359714985
15886032,1,5.342978477
15900318,1,5.369113922
15914604,1,4.681411266
15928890,1,5.312360287
15943176,1,4.68362689
15957462,1,5.333263874
15971748,1,4.655896425
15986034,1,4.7105937
16000320,1,5.332071304
16014606,1,5.322432041
16028892,1,5.341679573
16043178,1,4.691136837
16057464,1,5.357581139
16071750,1,5.360882282
16086036,1,5.271806717
16100322,1,5.340600014
16114608,1,5.323320389
16128894,1,4.714834452
16143180,1,5.380901337
16157466,1,5.368346214
16171752,1,5.363005161
16186038,1,4.715064764
16200324,1,5.330807686
16214610,1,4.712678671
16228896,1,5.346076012
16243182,1,5.252897739
16257468,1,5.222022057
16271754,1,5.294276714
16286040,1,5.317051411
16300326,1,5.350417137
16314612,1,5.346694946
16328898,1,5.355235577
16343184,1,5.349659443
16357470,1,5.36782074
16371756,1,5.282173157
16386042,1,5.214930534
16400328,1,4.708986521
16414614,1,5.344082832
16428900,1,5.336835861
16443186,1,5.351001263
16457472,1,5.360765934
16471758,1,5.342461586
16486044,1,5.241576195
16500330,1,4.704836369
16514616,1,5.216508865
16528902,1,5.367331505
16543188,1,5.339184761
16557474,1,5.358648777
16571760,1,5.149423122
16586046,1,5.341371536
16600332,1,5.344587326
16614618,1,5.347126484
16628904,1,5.338206291
16643190,1,5.332709312
16657476,1,5.361139774
16671762,1,5.366455078
16686048,1,5.31575489
16700334,1,5.362095833
16714620,1,5.327171803
16728906,1,5.355025291
16743192,1,5.325383663
16757478,1,5.320812225
16771764,1,4.726622105
16786050,1,4.707885027
16800336,1,5.357114315
16814622,1,5.363584995
16828908,1,5.211913109
16843194,1,4.731469393
16857480,1,5.248393059
16871766,1,5.325016499
16886052,1,5.365673542
16900338,1,5.362291336
16914624,1,5.35828352
16928910,1,4.726801634
16943196,1,4.707879782
16957482,1,5.265930176
16971768,1,4.720253229
16986054,1,5.29758358
17000340,1,5.334206104
17014626,1,5.214677334
17028912,1,5.369142532
17043198,1,4.715010643
17057484,1,4.709490538
17071770,1,5.330402374
17086056,1,5.366110802
17100342,1,5.232339382
17114628,1,5.239877701
17128914,1,5.348421574
17143200,1,5.313704967
17157486,1,5.363142967
17171772,1,5.32199049
17186058,1,5.355525494
17200344,1,5.346655846
17214630,1,5.363029003
17228916,1,5.324740887
17243202,1,5.289374352
17257488,1,5.370384216
17271774,1,5.312666416
17286060,1,5.351020813
17300346,1,5.120650768
17314632,1,5.3387146
17328918,1,5.35260725
17343204,1,5.358402729
17357490,1,5.332798958
17371776,1,5.335125923
17386062,1,5.34073925
17400348,1,5.354996681
17414634,1,5.370135307
17428920,1,5.36067152
17443206,1,5.379618168
17457492,1,5.354286671
17471778,1,5.318257809
17486064,1,5.34847784
